seed,model,status,converged,alpha,test_mae,mean_poisson_deviance,fit_seconds,error,rank
0,Poisson GLM,OK,True,,0.098932217019477,0.3219051498430254,0.8189969062805176,,3.0
0,Negative Binomial NB2 (alpha estimated),OK,True,0.9100509533108296,0.09945344923450135,0.3219180266871998,6.122141361236572,,4.0
0,Random Forest,OK,N/A,,0.09813692435058576,0.2992973200888082,13.174744129180908,,1.0
0,XGBoost,OK,N/A,,0.09826056659221649,0.2990959756941446,1.5185770988464355,,2.0
1,Poisson GLM,OK,True,,0.09844474611461879,0.3176604650173965,0.6436829566955566,,3.0
1,Negative Binomial NB2 (alpha estimated),OK,True,0.9475237739082972,0.0989919361372888,0.31770365355866015,5.403738021850586,,4.0
1,Random Forest,OK,N/A,,0.09762144379976874,0.29622775736449464,12.791516065597534,,1.0
1,XGBoost,OK,N/A,,0.09782592952251434,0.2960229342415917,1.5191679000854492,,2.0
2,Poisson GLM,OK,True,,0.09855676103109853,0.32048587302706305,0.56280517578125,,3.0
2,Negative Binomial NB2 (alpha estimated),OK,True,0.9326900518352956,0.09908833464596827,0.32052801014441096,5.662830114364624,,4.0
2,Random Forest,OK,N/A,,0.0977022987121188,0.29566057642716603,13.108980894088745,,1.0
2,XGBoost,OK,N/A,,0.09778101742267609,0.29578370200612825,1.5648901462554932,,2.0
3,Poisson GLM,OK,True,,0.09945499243290112,0.324722368161653,0.5947830677032471,,3.0
3,Negative Binomial NB2 (alpha estimated),OK,True,0.993809637604301,0.10000879632477934,0.3247099326390639,5.680779933929443,,4.0
3,Random Forest,OK,N/A,,0.09867674440861088,0.3013553538836558,12.795164823532104,,1.0
3,XGBoost,OK,N/A,,0.09878068417310715,0.3007713127367478,1.4919657707214355,,2.0
4,Poisson GLM,OK,True,,0.09902861274369044,0.32019490587143784,0.5635628700256348,,3.0
4,Negative Binomial NB2 (alpha estimated),OK,True,0.9863419270506688,0.09958989056388225,0.3202291270562835,5.454360008239746,,4.0
4,Random Forest,OK,N/A,,0.09820910164087128,0.29826920101507465,12.915277004241943,,2.0
4,XGBoost,OK,N/A,,0.09818064421415329,0.2978470641001625,1.5001568794250488,,1.0
5,Poisson GLM,OK,True,,0.09967722277408908,0.32558662463169513,0.5732967853546143,,3.0
5,Negative Binomial NB2 (alpha estimated),OK,True,0.9349449233890234,0.10020611025193817,0.32556737573029376,5.3346569538116455,,4.0
5,Random Forest,OK,N/A,,0.09906249942076627,0.3038371204565305,13.000399112701416,,1.0
5,XGBoost,OK,N/A,,0.09908229112625122,0.30380341597031896,1.4510860443115234,,2.0
6,Poisson GLM,OK,True,,0.09929758652821823,0.32405204858193326,0.5554916858673096,,3.0
6,Negative Binomial NB2 (alpha estimated),OK,True,0.9537246681974,0.09984401744285773,0.32409096621619693,5.4298670291900635,,4.0
6,Random Forest,OK,N/A,,0.09835816266869905,0.29913585947009136,13.07237195968628,,1.0
6,XGBoost,OK,N/A,,0.0984397679567337,0.2990910645194237,1.4957160949707031,,2.0
7,Poisson GLM,OK,True,,0.0992739194929054,0.3252059603458862,1.1509418487548828,,3.0
7,Negative Binomial NB2 (alpha estimated),OK,True,0.944911591087306,0.09980252417609405,0.3252098122280103,113.05114078521729,,4.0
7,Random Forest,OK,N/A,,0.09849769282568371,0.30104628390974314,12.939184188842773,,2.0
7,XGBoost,OK,N/A,,0.09848236292600632,0.30045388812368906,1.6719629764556885,,1.0
8,Poisson GLM,OK,True,,0.09906937018513258,0.3219088868162673,0.6086783409118652,,3.0
8,Negative Binomial NB2 (alpha estimated),OK,True,0.9832950966619762,0.09963130832557429,0.3219405063403512,5.746205806732178,,4.0
8,Random Forest,OK,N/A,,0.09828378838262485,0.29795683609646406,12.45553708076477,,1.0
8,XGBoost,OK,N/A,,0.09834040701389313,0.2977353543343875,1.4941422939300537,,2.0
9,Poisson GLM,OK,True,,0.09854488949348017,0.3191186324943246,0.5692527294158936,,3.0
9,Negative Binomial NB2 (alpha estimated),OK,True,0.9984318568989747,0.0991047452735583,0.3191237498195987,6.326747894287109,,4.0
9,Random Forest,OK,N/A,,0.09797346885036626,0.29683918601475057,12.652331113815308,,1.0
9,XGBoost,OK,N/A,,0.0979810282588005,0.295849951386194,1.5239880084991455,,2.0
10,Poisson GLM,OK,True,,0.09950320802362855,0.32688305622731145,0.5480151176452637,,3.0
10,Negative Binomial NB2 (alpha estimated),OK,True,0.9876908836146301,0.10004943698400362,0.3268624236998647,5.70716404914856,,4.0
10,Random Forest,OK,N/A,,0.09876303494230013,0.3017375098183401,12.790773153305054,,1.0
10,XGBoost,OK,N/A,,0.09880292415618896,0.301596195153654,1.5291829109191895,,2.0
11,Poisson GLM,OK,True,,0.09915188284218349,0.3232037610106479,0.5512728691101074,,3.0
11,Negative Binomial NB2 (alpha estimated),OK,True,0.9713887439412399,0.09970327447535964,0.32320467617829024,5.357218980789185,,4.0
11,Random Forest,OK,N/A,,0.09835578700229368,0.2993063707473511,12.931533813476562,,1.0
11,XGBoost,OK,N/A,,0.09845178574323654,0.2988374706584971,1.4971649646759033,,2.0
12,Poisson GLM,OK,True,,0.09837871354864901,0.3180157823308106,0.5667750835418701,,3.0
12,Negative Binomial NB2 (alpha estimated),OK,True,1.0059546181596386,0.09894310899448125,0.31801260694205424,5.939470052719116,,4.0
12,Random Forest,OK,N/A,,0.09777580099892172,0.29473615656698765,13.359157085418701,,1.0
12,XGBoost,OK,N/A,,0.09780523926019669,0.29477304557011735,1.5145862102508545,,2.0
13,Poisson GLM,OK,True,,0.0984662228908323,0.31930378834578665,0.5617148876190186,,3.0
13,Negative Binomial NB2 (alpha estimated),OK,True,0.9684492742743904,0.09901784030009787,0.3193247281455435,5.3613080978393555,,4.0
13,Random Forest,OK,N/A,,0.09781009667697546,0.29783615333285657,13.029690027236938,,1.0
13,XGBoost,OK,N/A,,0.09792252629995346,0.2974657262372165,1.500060796737671,,2.0
14,Poisson GLM,OK,True,,0.0989987772838405,0.320229345133717,0.5461668968200684,,3.0
14,Negative Binomial NB2 (alpha estimated),OK,True,0.9831227392033465,0.09956644850592487,0.3202576545608028,5.857155084609985,,4.0
14,Random Forest,OK,N/A,,0.09830241407922165,0.2990758703543419,13.38362979888916,,1.0
14,XGBoost,OK,N/A,,0.0983414277434349,0.3000426302607945,1.5172579288482666,,2.0
15,Poisson GLM,OK,True,,0.09885508229267208,0.3201668786278365,0.5566871166229248,,3.0
15,Negative Binomial NB2 (alpha estimated),OK,True,0.9860182577729694,0.09941984925516825,0.3201904361039207,5.709306001663208,,4.0
15,Random Forest,OK,N/A,,0.09795303308618328,0.2963881732211728,13.126381874084473,,1.0
15,XGBoost,OK,N/A,,0.09804441034793854,0.29566802106821505,1.5081322193145752,,2.0
16,Poisson GLM,OK,True,,0.09917810551381215,0.32245975627998613,0.5388479232788086,,3.0
16,Negative Binomial NB2 (alpha estimated),OK,True,0.8798397080862791,0.09967046688855435,0.3224435483503887,5.424032926559448,,4.0
16,Random Forest,OK,N/A,,0.09832194027987454,0.29906883998310024,13.115596055984497,,1.0
16,XGBoost,OK,N/A,,0.09846638888120651,0.2986022631578763,1.4860620498657227,,2.0
17,Poisson GLM,OK,True,,0.09930491555662464,0.325153228003719,0.56107497215271,,3.0
17,Negative Binomial NB2 (alpha estimated),OK,True,0.9622293721084006,0.09983957727070894,0.3251319961999786,5.291710138320923,,4.0
17,Random Forest,OK,N/A,,0.09849414358720796,0.30127812389016106,13.237335205078125,,1.0
17,XGBoost,OK,N/A,,0.09863093495368958,0.3014921946241467,1.5004830360412598,,2.0
18,Poisson GLM,OK,True,,0.09841083522725436,0.3177846864253815,0.5404751300811768,,3.0
18,Negative Binomial NB2 (alpha estimated),OK,True,0.9507055347190799,0.09895131097562125,0.31782540059575476,5.307237863540649,,4.0
18,Random Forest,OK,N/A,,0.09749439995696751,0.2951783575146385,13.316682815551758,,1.0
18,XGBoost,OK,N/A,,0.09759457409381866,0.2956392046336552,1.5307250022888184,,2.0
19,Poisson GLM,OK,True,,0.0989413933839752,0.3196660224118107,0.5354130268096924,,3.0
19,Negative Binomial NB2 (alpha estimated),OK,True,1.0113024636921424,0.09951257991380262,0.3196464148904892,5.724907159805298,,4.0
19,Random Forest,OK,N/A,,0.0982528850067438,0.2972859349502109,13.777998924255371,,1.0
19,XGBoost,OK,N/A,,0.0982852578163147,0.29734246807514864,1.6205151081085205,,2.0
